dataset,y_true,uncertainty,severity_potential,context_criticality,model_risk,model_confidence,confidence_penalty,free_energy,adaptive_free_energy,action
cyber,3,0.940472065466475,0.39187144469933244,0.0,0.5690888363280061,0.4309111636719939,0.5690888363280061,0.5615688343667105,0.5211220714723448,monitor
cyber,2,0.933629362677334,0.45685359480575133,0.0,0.6156025458304205,0.3843974541695795,0.6156025458304205,0.5938882034428182,0.5987136259389201,investigate
cyber,1,0.8791235371264277,0.5460531825644578,0.0,0.52766105259266,0.47233894740733995,0.52766105259266,0.5867709381836534,0.5471052109296448,monitor
cyber,0,0.9257581191587173,0.9881065436087877,0.0,0.567510064293523,0.432489935706477,0.567510064293523,0.7654422420840716,0.9083016224784175,escalate
cyber,0,0.9304069569287314,0.17221966206013975,0.0,0.6546975454396308,0.35375640271143405,0.646243597288566,0.5022279603444695,0.43721573030262284,monitor
cyber,0,0.8814886445772071,0.5990249435427626,0.0,0.6641731399226654,0.4361611703870893,0.5638388296129107,0.6301151775628199,0.679098621952728,investigate
cyber,0,0.929923956459701,0.37109317775339346,0.0,0.6282271888171624,0.3717728111828376,0.6282271888171624,0.5659165963558885,0.5493535650156729,monitor
cyber,0,0.880833267395447,0.6364129908268075,0.0,0.5280393914760173,0.47196060852398264,0.5280393914760173,0.619004374877021,0.6090271743168815,investigate
cyber,0,0.9551976457773201,0.18154669321768757,0.0,0.6236257485121933,0.3763742514878067,0.6236257485121933,0.506007073487435,0.4362653842616966,monitor
cyber,2,0.9229559689921965,0.5790232860338691,0.0,0.6609332040583268,0.3390667959416732,0.6609332040583268,0.6447782418240948,0.7109034132814523,investigate
cyber,1,0.9559057564673931,0.5966150206367731,0.0,0.6193072452571127,0.3806927547428874,0.6193072452571127,0.6504137954773666,0.7106933491428333,investigate
cyber,3,0.909401284244975,0.44934869123197557,0.0,0.6178695963779985,0.3821304036220014,0.6178695963779985,0.5845598262991836,0.5788107803534257,investigate
cyber,2,0.970809084759902,0.3967113377542848,0.0,0.6389721514869426,0.36102784851305736,0.6389721514869426,0.5898347315137059,0.6037804146476738,investigate
cyber,0,0.9134182587411255,0.6749495198142346,0.0,0.5728831217723587,0.4271168782276413,0.5728831217723587,0.6534785900004093,0.6948452975207197,investigate
cyber,2,0.9590789210177236,0.3881269106145653,0.0,0.6319225022508087,0.3680774977491913,0.6319225022508087,0.5815487205831171,0.5840239230013688,investigate
cyber,0,0.9912812208830458,0.3626194684905496,0.0,0.6912273007311203,0.3087726992688798,0.6912273007311203,0.5971080054193861,0.6388394506912703,investigate
cyber,0,0.8992309516293537,0.6888287500776337,0.0,0.6268438330644834,0.3731561669355166,0.6268438330644834,0.6675703062820987,0.7394034242163406,contain
cyber,2,0.849078625375753,0.4769570318289294,0.0,0.4767031485331992,0.5232968514668008,0.4767031485331992,0.540834335886151,0.4375011707109097,monitor
cyber,0,0.9509504619849879,0.4165405816965941,0.0,0.7089220581128505,0.336133880327742,0.663866119672258,0.6037992628734576,0.6531460170283409,investigate
cyber,0,0.8984326681734609,0.4365864532374495,0.0,0.5647857662475642,0.43521423375243584,0.5647857662475642,0.5635315006470366,0.5183105245192642,monitor
cyber,2,0.9809634526760511,0.2875210442147291,0.0,0.6476115227134067,0.3523884772865932,0.6476115227134067,0.5568242819563223,0.5450209439260347,monitor
cyber,0,0.9299091583616482,0.29667085139590227,0.0,0.5789582004791874,0.42104179952081255,0.5789582004791874,0.5275470956168571,0.4583973478156026,monitor
cyber,0,0.8583816834698889,0.3750167267492348,0.0,0.4707385616131191,0.5292614383868809,0.4707385616131191,0.5064549998064786,0.3707933401747795,monitor
cyber,0,0.940041955727362,0.37737197686104135,0.0,0.6957490015362454,0.3242312996398891,0.6757687003601109,0.586031998886021,0.6131800845616819,investigate
cyber,0,0.9669038526900036,0.43753381281304005,0.0,0.7540136209097589,0.3414669537560425,0.6585330462439575,0.6221633380524246,0.7062884196779565,investigate
cyber,0,0.9420554074802926,0.4450827223808368,0.0,0.6340131038587324,0.36598689614126756,0.6340131038587324,0.5968988510420639,0.6120666628023234,investigate
cyber,0,0.9025034715767379,0.02159285974456821,0.0,0.526122794040137,0.473877205959863,0.526122794040137,0.4098392408936545,0.2113162426973233,observe
cyber,0,0.8992753158624791,0.40375818357691456,0.0,0.5346658047216701,0.46533419527832987,0.5346658047216701,0.5447644101910813,0.4717668536203924,monitor
cyber,2,0.9743433899732635,0.17082110882408086,0.0,0.637492995350917,0.3625070046490831,0.637492995350917,0.5114636539181365,0.4539438967474385,monitor
cyber,2,0.8944764070023656,0.5522089491048184,0.0,0.501941883211542,0.498058116788458,0.501941883211542,0.5871015250902817,0.5403569042119507,monitor
cyber,0,0.8714939447367335,0.15057328909176781,0.0,0.5414720464606038,0.4585279535393963,0.5414720464606038,0.44951684621828975,0.28891634486375417,observe
cyber,0,0.9494103001989054,0.49875742215960406,0.0,0.6239001696081472,0.3760998303918528,0.6239001696081472,0.6153632302175698,0.644598595383379,investigate
cyber,2,0.9306660003820022,0.847077229957703,0.0,0.5912695574727989,0.4087304425272012,0.5912695574727989,0.7234942199679965,0.8372567073455798,contain
cyber,0,0.8610082034025247,0.5022367841180571,0.0,0.5011921296724121,0.4988078703275879,0.5011921296724121,0.5593833678801804,0.4831361973078683,monitor
cyber,0,0.966390783559434,0.1635162216479238,0.0,0.7089059213343751,0.3545329398663522,0.6454670601336479,0.5180305068581246,0.4911219087940986,monitor
cyber,2,0.9314052819671812,0.7180571916424827,0.0,0.5627169204208192,0.4372830795791808,0.5627169204208192,0.671420831770228,0.7276301493809016,contain
cyber,0,0.9463269977329359,0.24020069549440165,0.0,0.6260232273868502,0.37397677261314977,0.6260232273868502,0.5244741495896339,0.47134651532982447,monitor
cyber,0,0.9734381456151213,0.373840741848879,0.0,0.6299749065476667,0.3700250934523333,0.6299749065476667,0.5803694299685608,0.5827877981168904,investigate
cyber,0,0.9184796603909843,0.7519107327339724,0.0,0.5683245394531746,0.4316754605468254,0.5683245394531746,0.6807937894374793,0.7460026288943854,contain
cyber,3,0.8916607520426806,0.22690231653535683,0.0,0.5855273960051048,0.4144726039948952,0.5855273960051048,0.49329588540145525,0.3907461909751122,monitor
cyber,2,0.7857785468560256,0.417007259206403,0.0,0.39618297435906424,0.6038170256409358,0.39618297435906424,0.4807318483688148,0.2862723695513455,observe
cyber,1,0.9162172751330397,0.29109593365466035,0.0,0.5572712661279323,0.4427287338720677,0.5572712661279323,0.5160665758510261,0.4270600990099697,monitor
cyber,0,0.8937130694936903,0.2527183219923466,0.0,0.524120563973401,0.47587943602659905,0.524120563973401,0.48759547453877866,0.358103377726282,monitor
cyber,3,0.9557012194638509,0.44048062847418057,0.0,0.6011151769515615,0.3988848230484385,0.6011151769515615,0.5911573800430088,0.5909422204075991,investigate
cyber,1,0.9519874268707245,0.814847802666188,0.0,0.5943756991211215,0.4056243008788785,0.5943756991211215,0.7193868837746634,0.8330682108791893,contain
cyber,0,0.8769529457560535,0.0,0.0,0.5263348547154638,0.47366514528453624,0.5263348547154638,0.394669597405682,0.1793595545819085,observe
cyber,0,0.9230329173710295,0.5752002766615238,0.0,0.6176893219664348,0.3823106780335652,0.6176893219664348,0.6326523025344508,0.6722550364913998,investigate
cyber,0,0.8236036885750617,0.4402895499637786,0.0,0.4525318143844106,0.5474681856155894,0.4525318143844106,0.5143154026559437,0.375135952812917,monitor
cyber,0,0.9329513466288625,0.3509728435269181,0.0,0.5598220865497306,0.44017791345026935,0.5598220865497306,0.5426814208605127,0.48081992704026283,monitor
cyber,0,0.9102811765659994,0.4757499213507369,0.0,0.5847146120123818,0.4152853879876182,0.5847146120123818,0.5857754784456531,0.5693615652776939,investigate
cyber,1,0.89792198974132,0.7372036772828826,0.0,0.5534447144451826,0.44655528555481744,0.5534447144451826,0.6657590625827005,0.7094936584911931,investigate
cyber,0,0.9300907272636579,0.09755262552469415,0.0,0.6675918566586724,0.3821719125086823,0.6178280874913177,0.47509222436067294,0.3899539004357963,monitor
cyber,0,0.9890809378185356,0.09538584351872437,0.0,0.6775259347836196,0.32247406521638045,0.6775259347836196,0.4994908102730191,0.44717005076899374,monitor
cyber,0,0.9586130932482865,0.685766970613594,0.0,0.6178151900967978,0.38218480990320225,0.6178151900967978,0.6820561652134433,0.7709351811495959,contain
cyber,0,0.9124189379945372,0.5473108888546402,0.0,0.6185314905550593,0.3814685094449407,0.6185314905550593,0.6199173651362502,0.6469591203161528,investigate
cyber,0,0.9705857919579927,0.29116907197081765,0.0,0.6387140731576927,0.3612859268423073,0.6387140731576927,0.5527634310666071,0.5328362380624992,monitor
cyber,3,0.9482363721073179,0.46862197913884995,0.0,0.5790359296898024,0.4209640703101976,0.5790359296898024,0.5932475867532435,0.586134987095634,investigate
cyber,0,0.9288408908028136,0.7129224392395642,0.0,0.6658206935647948,0.3776710854459183,0.6223289145540817,0.690281116464819,0.8002905780926992,contain
cyber,0,0.9588569478494133,0.07930941362278147,0.0,0.6076220461785554,0.3923779538214446,0.6076220461785554,0.4673208906674364,0.3570591629505431,monitor
cyber,0,0.9256606152750739,0.5366496373309596,0.0,0.5563386750857059,0.4436613249142941,0.5563386750857059,0.6046102264197845,0.5970170946187927,investigate
